,Instance,vCPU(s),RAM,Temporary storage,Pay as you go,1 year reserved,3 year reserved,Spot
0,B1ls,1,0.5 GiB,4 GiB,4.526,2.6645,1.6936,Blank
1,B1s,1,1 GiB,4 GiB,9.052,5.2487,3.4164,Blank
2,B1ms,1,2 GiB,4 GiB,18.104,10.585,6.8036,Blank
3,B2s,2,4 GiB,8 GiB,36.208,21.17,13.6145,Blank
4,B2ms,2,8 GiB,16 GiB,72.416,42.4203,27.2217,Blank
5,B4ms,4,16 GiB,32 GiB,144.5400,84.753,54.4434,Blank
6,B8ms,8,32 GiB,64 GiB,289.81,169.4987,108.916,Blank
7,B12ms,12,48 GiB,96 GiB,434.3500,254.2517,163.3302,Blank
8,B16ms,16,64 GiB,128 GiB,579.62,338.9974,217.7809,Blank
9,B20ms,20,80 GiB,160 GiB,724.16,423.7504,272.2243,Blank
10,A1 v2,1,2 GiB,10 GiB,31.3900,Blank,Blank,4.4290
11,A2 v2,2,4 GiB,20 GiB,66.4300,Blank,Blank,9.3732
12,A2m v2,2,16 GiB,20 GiB,108.77,Blank,Blank,15.3476
13,A4 v2,4,8 GiB,40 GiB,139.43,Blank,Blank,19.6735
14,A4m v2,4,32 GiB,40 GiB,216.81,Blank,Blank,30.5922
15,A8 v2,8,16 GiB,80 GiB,292,Blank,Blank,41.2012
16,A8m v2,8,64 GiB,80 GiB,433.62,Blank,Blank,61.1835
17,D2as v5,2,8 GiB,N/A,73.73,43.5007,28.0247,16.9871
18,D4as v5,4,16 GiB,N/A,147.46,87.0014,56.0275,33.9750
19,D8as v5,8,32 GiB,N/A,294.92,174.0028,112.0842,67.9499
20,D16as v5,16,64 GiB,N/A,589.84,347.9983,224.1392,135.8990
21,D32as v5,32,128 GiB,N/A,"1,179.68",695.9966,448.2784,271.7980
22,D48as v5,48,192 GiB,N/A,"1,769.52","1,044.0022",672.4176,407.6977
23,D64as v5,64,256 GiB,N/A,"2,359.36","1,392.0005",896.5568,543.5967
24,D96as v5,96,384 GiB,N/A,"3,539.04","2,087.9971","1,344.8352",815.3947
25,D2ads v5,2,8 GiB,75 GiB,89.06,52.5819,33.8355,18.2398
26,D4ads v5,4,16 GiB,150 GiB,178.12,105.0835,67.6929,36.4789
27,D8ads v5,8,32 GiB,300 GiB,356.24,210.167,135.3639,72.9577
28,D16ads v5,16,64 GiB,600 GiB,712.48,420.334,270.7497,145.9161
29,D32ads v5,32,128 GiB,"1,200 GiB","1,424.96",840.7483,541.4702,291.8321
30,D48ads v5,48,192 GiB,"1,800 GiB","2,137.44","1,261.0823",812.2199,437.7475
31,D64ads v5,64,256 GiB,"2,400 GiB","2,849.92","1,681.4163","1,082.9696",583.6635
32,D96ads v5,96,384 GiB,"3,600 GiB","4,274.88","2,522.1646","1,624.4471",875.4956
33,D2a v4,2,8 GiB,50 GiB,81.76,48.0851,30.7476,8.7892
34,D4a v4,4,16 GiB,100 GiB,163.52,96.1702,61.4733,17.5784
35,D8a v4,8,32 GiB,200 GiB,327.04,192.3331,122.9758,35.1568
36,D16a v4,16,64 GiB,400 GiB,654.08,384.5859,245.9443,70.3136
37,D32a v4,32,128 GiB,800 GiB,"1,308.16",769.1645,491.8594,140.6272
38,D48a v4,48,192 GiB,"1,200 GiB","1,962.24","1,153.8307",737.8037,210.9408
39,D64a v4,64,256 GiB,"1,600 GiB","2,616.32","1,538.4166",983.7480,281.2544
40,D96a v4,96,384 GiB,"2,400 GiB","3,924.48","2,307.5811","1,475.6147",421.8816
41,D2as v4,2,8 GiB,16 GiB,81.76,48.0851,30.7476,8.7892
42,D4as v4,4,16 GiB,32 GiB,163.52,96.1702,61.4733,17.5784
43,D8as v4,8,32 GiB,64 GiB,327.04,192.3331,122.9758,35.1568
44,D16as v4,16,64 GiB,128 GiB,654.08,384.5859,245.9443,70.3136
45,D32as v4,32,128 GiB,256 GiB,"1,308.16",769.1645,491.8594,140.6272
46,D48as v4,48,192 GiB,384 GiB,"1,962.24","1,153.8307",737.8037,210.9408
47,D64as v4,64,256 GiB,512 GiB,"2,616.32","1,538.4166",983.7480,281.2544
48,D96as v4,96,384 GiB,768 GiB,"3,924.48","2,307.5811","1,475.6147",421.8816
49,D2ps v5,2,8 GiB,N/A,N/A,Blank,Blank,N/A
50,D4ps v5,4,16 GiB,N/A,N/A,Blank,Blank,N/A
51,D8ps v5,8,32 GiB,N/A,N/A,Blank,Blank,N/A
52,D16ps v5,16,64 GiB,N/A,N/A,Blank,Blank,N/A
53,D32ps v5,32,128 GiB,N/A,N/A,Blank,Blank,N/A
54,D48ps v5,48,192 GiB,N/A,N/A,Blank,Blank,N/A
55,D64ps v5,64,208 GiB,N/A,N/A,Blank,Blank,N/A
56,D2pds v5,2,8 GiB,75 GiB,N/A,Blank,Blank,N/A
57,D4pds v5,4,16 GiB,150 GiB,N/A,Blank,Blank,N/A
58,D8pds v5,8,32 GiB,300 GiB,N/A,Blank,Blank,N/A
59,D16pds v5,16,64 GiB,600 GiB,N/A,Blank,Blank,N/A
60,D32pds v5,32,128 GiB,"1,200 GiB",N/A,Blank,Blank,N/A
61,D48pds v5,48,192 GiB,"1,800 GiB",N/A,Blank,Blank,N/A
62,D64pds v5,64,208 GiB,"2,400 GiB",N/A,Blank,Blank,N/A
63,D2pls v5,2,4 GiB,N/A,N/A,Blank,Blank,N/A
64,D4pls v5,4,8 GiB,N/A,N/A,Blank,Blank,N/A
65,D8pls v5,8,16 GiB,N/A,N/A,Blank,Blank,N/A
66,D16pls v5,16,32 GiB,N/A,N/A,Blank,Blank,N/A
67,D32pls v5,32,64 GiB,N/A,N/A,Blank,Blank,N/A
68,D48pls v5,48,96 GiB,N/A,N/A,Blank,Blank,N/A
69,D64pls v5,64,128 GiB,N/A,N/A,Blank,Blank,N/A
70,D2plds v5,2,4 GiB,75 GiB,N/A,Blank,Blank,N/A
71,D4plds v5,4,8 GiB,150 GiB,N/A,Blank,Blank,N/A
72,D8plds v5,8,16 GiB,300 GiB,N/A,Blank,Blank,N/A
73,D16plds v5,16,32 GiB,600 GiB,N/A,Blank,Blank,N/A
74,D32plds v5,32,64 GiB,"1,200 GiB",N/A,Blank,Blank,N/A
75,D48plds v5,48,96 GiB,"1,800 GiB",N/A,Blank,Blank,N/A
76,D64plds v5,64,128 GiB,"2,400 GiB",N/A,Blank,Blank,N/A
77,D2d v5,2,8 GiB,75 GiB,97.09,57.2466,36.8869,15.9031
78,D4d v5,4,16 GiB,150 GiB,194.18,114.5808,73.7811,31.8069
79,D8d v5,8,32 GiB,300 GiB,388.36,229.1689,147.5841,63.6137
80,D16d v5,16,64 GiB,600 GiB,776.72,458.2502,295.1682,127.2266
81,D32d v5,32,128 GiB,"1,200 GiB","1,553.44",916.5004,590.3072,254.4532
82,D48d v5,48,192 GiB,"1,800 GiB","2,330.1600","1,374.8309",885.4754,381.6805
83,D64d v5,64,256 GiB,"2,400 GiB","3,106.88","1,833.0811","1,180.6144",508.9071
84,D96d v5,96,384 GiB,"3,600 GiB","4,660.3200","2,749.5815","1,770.9143",763.3603
85,D2ds v5,2,8 GiB,75 GiB,97.09,57.2466,36.8869,15.9031
86,D4ds v5,4,16 GiB,150 GiB,194.18,114.5808,73.7811,31.8069
87,D8ds v5,8,32 GiB,300 GiB,388.36,229.1689,147.5841,63.6137
88,D16ds v5,16,64 GiB,600 GiB,776.72,458.2502,295.1682,127.2266
89,D32ds v5,32,128 GiB,"1,200 GiB","1,553.44",916.5004,590.3072,254.4532
90,D48ds v5,48,192 GiB,"1,800 GiB","2,330.1600","1,374.8309",885.4754,381.6805
91,D64ds v5,64,256 GiB,"2,400 GiB","3,106.88","1,833.0811","1,180.6144",508.9071
92,D96ds v5,96,384 GiB,"3,600 GiB","4,660.3200","2,749.5815","1,770.9143",763.3603
93,D2 v5,2,8 GiB,N/A,81.76,48.2530,31.0542,13.3926
94,D4 v5,4,16 GiB,N/A,163.52,96.4987,62.1376,26.7845
95,D8 v5,8,32 GiB,N/A,327.04,192.9171,124.2752,53.5689
96,D16 v5,16,64 GiB,N/A,654.08,385.9145,248.5577,107.1385
97,D32 v5,32,128 GiB,N/A,"1,308.16",771.8363,497.1081,214.2769
98,D48 v5,48,192 GiB,N/A,"1,962.24","1,157.7508",745.6366,321.4147
99,D64 v5,64,256 GiB,N/A,"2,616.32","1,543.6653",994.1943,428.5531
100,D96 v5,96,384 GiB,N/A,"3,924.48","2,315.414","1,491.3024",642.8300
101,D2s v5,2,8 GiB,N/A,81.76,48.2530,31.0542,13.3926
102,D4s v5,4,16 GiB,N/A,163.52,96.4987,62.1376,26.7845
103,D8s v5,8,32 GiB,N/A,327.04,192.9171,124.2752,53.5689
104,D16s v5,16,64 GiB,N/A,654.08,385.9145,248.5577,107.1385
105,D32s v5,32,128 GiB,N/A,"1,308.16",771.8363,497.1081,214.2769
106,D48s v5,48,192 GiB,N/A,"1,962.24","1,157.7508",745.6366,321.4147
107,D64s v5,64,256 GiB,N/A,"2,616.32","1,543.6653",994.1943,428.5531
108,D96s v5,96,384 GiB,N/A,"3,924.48","2,315.414","1,491.3024",642.8300
109,DC2ads v5,2,8 GiB,75 GiB,150.38,Blank,Blank,60.152
110,DC4ads v5,4,16 GiB,150 GiB,300.76,Blank,Blank,120.304
111,DC8ads v5,8,32 GiB,300 GiB,602.25,Blank,Blank,240.90
112,DC16ads v5,16,64 GiB,600 GiB,"1,203.77",Blank,Blank,481.508
113,DC32ads v5,32,128 GiB,"1,200 GiB","2,408.27",Blank,Blank,963.3080
114,DC48ads v5,48,192 GiB,"1,800 GiB","3,612.0400",Blank,Blank,"1,444.816"
